Datum,Stampfenbachstrasse_PM10,Schimmelstrasse_PM10,Rosengartenstrasse_PM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-14,12.5,11.63,15.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-15,NaN,15.23,20.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-16,26.68,25.59,22.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-17,15.8,14.97,16.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-18,17.65,19.94,18.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-19,20.07,20.64,19.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-20,22.08,22.25,23.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-21,11.47,10.42,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-22,20.46,20.67,23.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-23,23.42,20.44,24.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-24,11.43,11.61,11.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-25,22.21,23.57,23.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-26,12.26,11.6,12.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-27,8.9,8.69,11.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-28,14.44,15.5,14.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-29,19.08,24,21.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-30,33.4,37.67,34.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-31,46.37,47.22,46.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-01,33.08,36.59,36.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-02,11.1,11.47,12.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-03,16.32,16.61,19.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-04,32.1,40.54,32.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-05,20.86,23.35,22.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-06,18.37,14.4,17.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-07,13.89,13.25,39.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-08,10.44,13.28,11.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-09,7.62,4.6,7.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-10,11.92,14.81,13.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-11,12.89,10.31,13.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-12,16.47,18.59,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-13,8.67,8.46,10.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-14,11.43,8.37,12.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-15,10.57,14.22,12.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-16,6.15,5.34,7.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-17,11.48,12.93,12.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-18,27.36,30.25,26.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-19,31.76,29.72,31.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-20,23.94,21.64,22.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-21,11.77,7.87,11.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-22,9.88,9.33,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-23,8.24,7.65,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-24,18.79,20.38,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-25,21.89,20.57,22.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-26,18.5,22.26,19.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-27,9.07,7.42,10.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-28,7.82,8.41,9.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-01,6.51,4.91,7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-02,11.6,10.96,13.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-03,14.68,13.44,18.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-04,12.68,12.94,16.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-05,17.64,19.3,19.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-06,28.54,32.95,32.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-07,40.53,42.43,46.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-08,38.13,39.85,41.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-09,45.04,45.73,48.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-10,48.82,52.06,60.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-11,33.58,36.39,56.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-12,41.59,40.24,45.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-13,59.39,54.74,84.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-14,66.52,67.69,88.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-15,50.15,57.39,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-16,13.97,12.62,16.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-17,22.34,21.29,42.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-18,23.34,27.18,39.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-19,19.55,17.83,20.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-20,30.21,34.98,36.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
