"T 07.02.05.05.01";;;
"Entwicklung der Brutvogelbestände";;;
"Index 100 = 1990";;;
;;;
;"regelmässige Brutvögel (174 Arten)";"typische Arten der Landwirtschaftszone (38 Arten)";"Leit- und Zielarten «Umweltziele Landwirtschaft» (46 Arten)"
"1990";"100";"100";"100"
"1991";"92.6740804312346";"89.7597091717388";"88.11"
"1992";"96.1485971715175";"96.4835006741436";"92.45"
"1993";"98.5629039322385";"98.4588519170723";"93.38"
"1994";"95.775185239745";"95.6293890266202";"94.32"
"1995";"95.2561068757384";"97.2119235756919";"84.04"
"1996";"99.3113191016015";"96.072646857885";"91.85"
"1997";"90.6766458100629";"84.4368940294141";"83.84"
"1998";"82.9935370190886";"76.4293011901786";"73.57"
"1999";"85.6340127261258";"89.5022401612719";"83.69"
"2000";"94.1862835592264";"92.1130240872791";"86.59"
"2001";"85.4097819632445";"90.7568727051234";"82.12"
"2002";"83.5521086252698";"82.6584392032071";"74.77"
"2003";"90.0719503977781";"85.5624654893451";"72.42"
"2004";"94.3928447972819";"90.9182608028783";"83.46"
"2005";"96.4005880934076";"90.4206373275275";"75.43"
"2006";"93.8254761902055";"82.6111171550329";"74.94"
"2007";"99.9240309603447";"92.5989806963229";"76.72"
"2008";"95.1234841231317";"81.2221164675415";"65.87"
"2009";"90.3217541677422";"86.9902190946553";"62.08"
"2010";"96.3268296108454";"85.1335433138757";"61.77"
"2011";"96.0676286302068";"87.9038229660653";"69.98"
"2012";"99.8811166784671";"98.6523553649667";"68.37"
"2013";"101.591727169346";"90.8240247152802";"68.9"
"2014";"102.239375872975";"91.8112964407326";"68.5"
"2015";"100.884916544522";"91.9740127579726";"62.74"
"2016";"100.772459777442";"81.1310810479925";"61.72"
"2017";"99.4642721988819";"79.8829614004966";"61.77"
;;;
"Quelle: Schweizerische Vogelwarte Sempach - Swiss Bird Index®";;;
"© BFS  2019";;;
"Letzte Änderung:  28.05.2019";;;
