Datum,Bern
01.01.2016,0.1
02.01.2016,5.7
03.01.2016,2.6
04.01.2016,4.7
05.01.2016,0.9
06.01.2016,2.3
07.01.2016,7.8
08.01.2016,10.7
09.01.2016,18.1
10.01.2016,17.1
11.01.2016,8.7
12.01.2016,4.1
13.01.2016,0.0
14.01.2016,0.7
15.01.2016,0.3
16.01.2016,0.7
17.01.2016,1.1
18.01.2016,0.0
19.01.2016,0.4
20.01.2016,2.4
21.01.2016,0.0
22.01.2016,0.0
23.01.2016,0.1
24.01.2016,0.0
25.01.2016,0.0
26.01.2016,0.0
27.01.2016,0.0
28.01.2016,0.0
29.01.2016,0.8
30.01.2016,0.3
31.01.2016,7.7
01.02.2016,0.0
02.02.2016,0.0
03.02.2016,9.7
04.02.2016,0.6
05.02.2016,0.1
06.02.2016,0.0
07.02.2016,1.6
08.02.2016,0.8
09.02.2016,7.3
10.02.2016,0.3
11.02.2016,0.2
12.02.2016,6.3
13.02.2016,2.8
14.02.2016,8.7
15.02.2016,0.3
16.02.2016,0.0
17.02.2016,0.0
18.02.2016,0.3
19.02.2016,3.3
20.02.2016,0.8
21.02.2016,0.0
22.02.2016,1.3
23.02.2016,7.3
24.02.2016,
25.02.2016,7.6
26.02.2016,0.0
27.02.2016,0.0
28.02.2016,0.0
29.02.2016,1.3
01.03.2016,0.5
02.03.2016,5.2
03.03.2016,1.9
04.03.2016,6.7
05.03.2016,5.7
06.03.2016,0.1
07.03.2016,2.1
08.03.2016,1.7
09.03.2016,0.0
10.03.2016,0.0
11.03.2016,0.0
12.03.2016,0.0
13.03.2016,0.2
14.03.2016,0.0
15.03.2016,0.2
16.03.2016,0.1
17.03.2016,0.0
18.03.2016,0.0
19.03.2016,0.0
20.03.2016,0.0
21.03.2016,0.0
22.03.2016,0.0
23.03.2016,0.0
24.03.2016,0.0
25.03.2016,1.0
26.03.2016,0.2
27.03.2016,0.0
28.03.2016,0.0
29.03.2016,0.4
30.03.2016,0.0
31.03.2016,0.0
01.04.2016,0.0
02.04.2016,0.0
03.04.2016,0.0
04.04.2016,0.0
05.04.2016,4.3
06.04.2016,4.5
07.04.2016,0.0
08.04.2016,0.7
09.04.2016,0.1
10.04.2016,0.0
11.04.2016,0.1
12.04.2016,2.6
13.04.2016,18.0
14.04.2016,9.3
15.04.2016,4.1
16.04.2016,7.2
17.04.2016,21.8
18.04.2016,6.8
19.04.2016,0.0
20.04.2016,0.0
21.04.2016,0.0
22.04.2016,3.4
23.04.2016,8.5
24.04.2016,1.6
25.04.2016,0.8
26.04.2016,3.5
27.04.2016,0.0
28.04.2016,0.0
29.04.2016,0.0
30.04.2016,13.0
01.05.2016,12.8
02.05.2016,0.1
03.05.2016,0.5
04.05.2016,0.0
05.05.2016,0.0
06.05.2016,0.0
07.05.2016,0.0
08.05.2016,0.0
09.05.2016,0.2
10.05.2016,0.3
11.05.2016,1.7
12.05.2016,31.3
13.05.2016,18.0
14.05.2016,4.1
15.05.2016,0.0
16.05.2016,0.0
17.05.2016,0.0
18.05.2016,4.0
19.05.2016,9.5
20.05.2016,0.0
21.05.2016,0.0
22.05.2016,5.1
23.05.2016,21.6
24.05.2016,0.5
25.05.2016,0.0
26.05.2016,0.0
27.05.2016,6.6
28.05.2016,24.0
29.05.2016,37.3
30.05.2016,0.1
31.05.2016,0.6
01.06.2016,0.0
02.06.2016,4.2
03.06.2016,8.4
04.06.2016,2.2
05.06.2016,0.0
06.06.2016,0.0
07.06.2016,0.0
08.06.2016,48.0
09.06.2016,4.4
10.06.2016,0.2
11.06.2016,11.0
12.06.2016,0.0
13.06.2016,9.3
14.06.2016,2.7
15.06.2016,1.2
16.06.2016,24.5
17.06.2016,2.0
