"Start","Finish","Distance (mi)","Steps (count)"
"01-Jan-2016 00:00","02-Jan-2016 00:00","3.18441798568152","5207"
"02-Jan-2016 00:00","03-Jan-2016 00:00","5.61257851793242","12604"
"03-Jan-2016 00:00","04-Jan-2016 00:00","2.13490107956353","5000"
"04-Jan-2016 00:00","05-Jan-2016 00:00","2.37031181700149","4922"
"05-Jan-2016 00:00","06-Jan-2016 00:00","1.86792879895044","4071"
"06-Jan-2016 00:00","07-Jan-2016 00:00","2.35545326946452","5251"
"07-Jan-2016 00:00","08-Jan-2016 00:00","1.2561540997367","2874"
"08-Jan-2016 00:00","09-Jan-2016 00:00","1.83845508068248","4064"
"09-Jan-2016 00:00","10-Jan-2016 00:00","1.1964000631735","3183"
"10-Jan-2016 00:00","11-Jan-2016 00:00","0.715526112134709","1584"
"11-Jan-2016 00:00","12-Jan-2016 00:00","1.00351380267535","2343"
"12-Jan-2016 00:00","13-Jan-2016 00:00","2.44167770322386","5430"
"13-Jan-2016 00:00","14-Jan-2016 00:00","2.69034874536081","5989"
"14-Jan-2016 00:00","15-Jan-2016 00:00","5.53382752121015","12845"
"15-Jan-2016 00:00","16-Jan-2016 00:00","3.41834513996615","7850"
"16-Jan-2016 00:00","17-Jan-2016 00:00","1.83855738006032","4112"
"17-Jan-2016 00:00","18-Jan-2016 00:00","0.556240427920952","1162"
"18-Jan-2016 00:00","19-Jan-2016 00:00","1.63544654178269","3432"
"19-Jan-2016 00:00","20-Jan-2016 00:00","2.48350671483673","5239"
"20-Jan-2016 00:00","21-Jan-2016 00:00","2.10625654390384","4600"
"21-Jan-2016 00:00","22-Jan-2016 00:00","0.604923011510997","1275"
"22-Jan-2016 00:00","23-Jan-2016 00:00","1.52453029378805","3208"
"23-Jan-2016 00:00","24-Jan-2016 00:00","0.556852223844319","1175"
"24-Jan-2016 00:00","25-Jan-2016 00:00","2.80363728352712","6202"
"25-Jan-2016 00:00","26-Jan-2016 00:00","3.57083368112932","7453"
"26-Jan-2016 00:00","27-Jan-2016 00:00","1.2513983074985","2662"
"27-Jan-2016 00:00","28-Jan-2016 00:00","1.48168425182471","2966"
"28-Jan-2016 00:00","29-Jan-2016 00:00","2.63503331246769","6021"
"29-Jan-2016 00:00","30-Jan-2016 00:00","2.48063887441346","5351"
"30-Jan-2016 00:00","31-Jan-2016 00:00","3.53180672147484","8070"
"31-Jan-2016 00:00","01-Feb-2016 00:00","1.05739238516265","1820"
"01-Feb-2016 00:00","02-Feb-2016 00:00","1.98322238406303","4415"
"02-Feb-2016 00:00","03-Feb-2016 00:00","2.74015940915117","6316"
