Datum,Bern
01.01.2015,0.0
02.01.2015,0.1
03.01.2015,3.7
04.01.2015,1.3
05.01.2015,0.0
06.01.2015,0.0
07.01.2015,0.0
08.01.2015,0.2
09.01.2015,1.3
10.01.2015,0.0
11.01.2015,2.6
12.01.2015,0.0
13.01.2015,0.0
14.01.2015,2.9
15.01.2015,0.0
16.01.2015,2.6
17.01.2015,3.7
18.01.2015,0.0
19.01.2015,0.4
20.01.2015,2.4
21.01.2015,0.0
22.01.2015,0.0
23.01.2015,0.0
24.01.2015,1.4
25.01.2015,2.5
26.01.2015,2.8
27.01.2015,0.1
28.01.2015,0.0
29.01.2015,6.4
30.01.2015,2.6
31.01.2015,1.0
01.02.2015,1.0
02.02.2015,0.2
03.02.2015,0.0
04.02.2015,0.0
05.02.2015,0.0
06.02.2015,0.0
07.02.2015,0.0
08.02.2015,0.0
09.02.2015,0.0
10.02.2015,0.0
11.02.2015,0.0
12.02.2015,0.0
13.02.2015,0.0
14.02.2015,0.0
15.02.2015,0.0
16.02.2015,0.0
17.02.2015,0.0
18.02.2015,0.0
19.02.2015,0.0
20.02.2015,0.0
21.02.2015,4.4
22.02.2015,1.2
23.02.2015,2.3
24.02.2015,0.8
25.02.2015,0.2
26.02.2015,0.0
27.02.2015,2.0
28.02.2015,0.0
01.03.2015,2.9
02.03.2015,10.8
03.03.2015,0.0
04.03.2015,2.5
05.03.2015,0.0
06.03.2015,0.0
07.03.2015,0.0
08.03.2015,0.0
09.03.2015,0.0
10.03.2015,0.0
11.03.2015,0.0
12.03.2015,0.0
13.03.2015,0.0
14.03.2015,0.0
15.03.2015,
16.03.2015,
17.03.2015,
18.03.2015,
19.03.2015,
20.03.2015,
21.03.2015,
22.03.2015,
23.03.2015,
24.03.2015,
25.03.2015,
26.03.2015,
27.03.2015,0.5
28.03.2015,0.0
29.03.2015,5.8
30.03.2015,6.6
31.03.2015,3.4
01.04.2015,0.3
02.04.2015,6.3
03.04.2015,0.5
04.04.2015,8.5
05.04.2015,0.0
06.04.2015,0.0
07.04.2015,0.0
08.04.2015,0.0
09.04.2015,0.0
10.04.2015,0.0
11.04.2015,1.6
12.04.2015,0.0
13.04.2015,0.0
14.04.2015,0.0
15.04.2015,0.0
16.04.2015,0.2
17.04.2015,9.0
18.04.2015,2.8
19.04.2015,0.0
20.04.2015,0.0
21.04.2015,0.0
22.04.2015,0.0
23.04.2015,0.0
24.04.2015,0.0
25.04.2015,3.8
26.04.2015,1.1
27.04.2015,1.2
28.04.2015,10.4
29.04.2015,0.2
30.04.2015,3.5
01.05.2015,50.0
02.05.2015,8.9
03.05.2015,17.1
04.05.2015,7.8
05.05.2015,3.9
06.05.2015,10.4
07.05.2015,0.0
08.05.2015,2.3
09.05.2015,0.0
10.05.2015,0.0
11.05.2015,0.0
12.05.2015,0.0
13.05.2015,0.0
14.05.2015,3.1
15.05.2015,17.4
16.05.2015,0.0
17.05.2015,0.0
18.05.2015,0.0
19.05.2015,0.0
20.05.2015,0.6
21.05.2015,1.3
22.05.2015,0.0
23.05.2015,0.0
24.05.2015,0.0
25.05.2015,0.6
26.05.2015,8.0
27.05.2015,0.0
28.05.2015,0.0
29.05.2015,1.2
30.05.2015,0.0
31.05.2015,0.0
01.06.2015,1.0
02.06.2015,0.0
03.06.2015,0.0
04.06.2015,0.0
05.06.2015,0.0
06.06.2015,4.7
07.06.2015,0.5
08.06.2015,0.0
09.06.2015,0.0
10.06.2015,0.0
11.06.2015,0.0
12.06.2015,0.3
13.06.2015,3.7
14.06.2015,1.0
15.06.2015,37.8
16.06.2015,1.6
17.06.2015,0.0
18.06.2015,3.7
19.06.2015,4.6
20.06.2015,0.0
21.06.2015,1.9
22.06.2015,5.8
23.06.2015,3.7
24.06.2015,0.0
25.06.2015,0.0
26.06.2015,0.0
27.06.2015,0.0
28.06.2015,0.0
29.06.2015,0.0
30.06.2015,0.0
01.07.2015,0.0
02.07.2015,0.0
03.07.2015,0.0
04.07.2015,0.0
05.07.2015,0.0
06.07.2015,0.0
07.07.2015,1.1
08.07.2015,0.3
09.07.2015,0.0
10.07.2015,0.0
11.07.2015,0.0
12.07.2015,0.0
13.07.2015,0.0
14.07.2015,0.0
15.07.2015,0.0
16.07.2015,0.0
17.07.2015,0.0
18.07.2015,2.3
19.07.2015,0.0
20.07.2015,0.0
21.07.2015,0.0
22.07.2015,0.6
23.07.2015,0.0
24.07.2015,18.2
25.07.2015,3.2
26.07.2015,5.3
27.07.2015,0.8
28.07.2015,0.0
29.07.2015,4.8
30.07.2015,0.0
31.07.2015,0.0
01.08.2015,10.6
02.08.2015,0.0
03.08.2015,0.0
04.08.2015,0.0
05.08.2015,0.0
06.08.2015,0.0
07.08.2015,0.0
08.08.2015,3.8
09.08.2015,0.1
10.08.2015,2.7
11.08.2015,0.0
12.08.2015,0.0
13.08.2015,6.4
14.08.2015,17.0
15.08.2015,3.0
16.08.2015,4.3
17.08.2015,0.0
18.08.2015,0.4
19.08.2015,1.2
20.08.2015,0.0
21.08.2015,0.0
22.08.2015,0.0
23.08.2015,5.4
24.08.2015,11.1
25.08.2015,0.0
26.08.2015,0.0
27.08.2015,
28.08.2015,0.0
29.08.2015,0.0
30.08.2015,0.0
31.08.2015,0.0
01.09.2015,3.0
02.09.2015,0.0
03.09.2015,0.0
04.09.2015,0.0
05.09.2015,0.0
06.09.2015,0.0
07.09.2015,0.0
08.09.2015,0.0
09.09.2015,0.0
10.09.2015,0.0
11.09.2015,0.0
12.09.2015,4.3
13.09.2015,3.0
14.09.2015,8.1
15.09.2015,0.0
16.09.2015,0.0
17.09.2015,23.2
18.09.2015,1.4
19.09.2015,0.0
20.09.2015,0.0
21.09.2015,0.0
22.09.2015,10.0
23.09.2015,3.0
24.09.2015,0.0
25.09.2015,0.0
26.09.2015,0.0
27.09.2015,0.0
28.09.2015,0.0
29.09.2015,0.0
30.09.2015,0.0
01.10.2015,0.0
02.10.2015,0.0
03.10.2015,1.0
04.10.2015,6.7
05.10.2015,1.4
06.10.2015,8.4
07.10.2015,4.0
08.10.2015,0.0
09.10.2015,0.0
10.10.2015,0.0
11.10.2015,0.0
12.10.2015,0.0
13.10.2015,4.1
14.10.2015,0.0
15.10.2015,3.1
16.10.2015,0.0
17.10.2015,0.0
18.10.2015,0.2
19.10.2015,0.0
20.10.2015,0.0
21.10.2015,0.0
22.10.2015,0.0
23.10.2015,0.0
24.10.2015,0.0
25.10.2015,0.0
26.10.2015,0.0
27.10.2015,0.0
28.10.2015,7.3
29.10.2015,0.6
30.10.2015,0.0
31.10.2015,0.0
01.11.2015,0.0
02.11.2015,0.0
03.11.2015,0.0
04.11.2015,0.0
05.11.2015,0.0
06.11.2015,0.0
07.11.2015,0.0
08.11.2015,0.0
09.11.2015,0.0
10.11.2015,0.0
11.11.2015,0.0
12.11.2015,0.0
13.11.2015,0.0
14.11.2015,0.0
15.11.2015,0.0
16.11.2015,0.0
17.11.2015,0.0
18.11.2015,0.1
19.11.2015,0.0
20.11.2015,29.8
21.11.2015,7.7
22.11.2015,1.3
23.11.2015,0.0
24.11.2015,0.0
25.11.2015,6.3
26.11.2015,0.3
27.11.2015,0.0
28.11.2015,0.2
29.11.2015,0.4
30.11.2015,0.1
01.12.2015,0.0
02.12.2015,0.0
03.12.2015,0.0
04.12.2015,0.4
05.12.2015,0.0
06.12.2015,0.0
07.12.2015,0.0
08.12.2015,0.0
09.12.2015,2.9
10.12.2015,0.0
11.12.2015,0.0
12.12.2015,0.0
13.12.2015,0.0
14.12.2015,0.0
15.12.2015,0.1
16.12.2015,1.5
17.12.2015,
18.12.2015,0.0
19.12.2015,0.0
20.12.2015,0.0
21.12.2015,7.5
22.12.2015,0.0
23.12.2015,0.0
24.12.2015,0.0
25.12.2015,0.0
26.12.2015,0.0
27.12.2015,0.0
28.12.2015,0.0
29.12.2015,0.4
30.12.2015,0.0
31.12.2015,1.8
01.01.2016,0.1
02.01.2016,5.7
03.01.2016,2.6
04.01.2016,4.7
05.01.2016,0.9
06.01.2016,2.3
07.01.2016,7.8
08.01.2016,10.7
09.01.2016,18.1
10.01.2016,17.1
11.01.2016,8.7
12.01.2016,4.1
13.01.2016,0.0
14.01.2016,0.7
15.01.2016,0.3
16.01.2016,0.7
17.01.2016,1.1
18.01.2016,0.0
19.01.2016,0.4
20.01.2016,2.4
21.01.2016,0.0
22.01.2016,0.0
23.01.2016,0.1
24.01.2016,0.0
25.01.2016,0.0
26.01.2016,0.0
27.01.2016,0.0
28.01.2016,0.0
29.01.2016,0.8
30.01.2016,0.3
31.01.2016,7.7
01.02.2016,0.0
02.02.2016,0.0
03.02.2016,9.7
04.02.2016,0.6
05.02.2016,0.1
06.02.2016,0.0
07.02.2016,1.6
08.02.2016,0.8
09.02.2016,7.3
10.02.2016,0.3
11.02.2016,0.2
12.02.2016,6.3
13.02.2016,2.8
14.02.2016,8.7
15.02.2016,0.3
16.02.2016,0.0
