timestamp,Zürich Sunshine Duration,Zürich Wind Speed [10 m],Zürich Wind Direction [10 m],Zürich Wind Speed [900 mb],Zürich Wind Direction [900 mb]
20200331T0000,0.0,14.796596,66.665955,57.98682,77.08536
20200331T0100,0.0,15.015605,64.79887,58.151978,76.3939
20200331T0200,0.0,15.147364,66.13982,57.90743,77.43255
20200331T0300,0.0,15.015605,64.79887,55.801163,76.94997
20200331T0400,0.0,14.420093,64.85522,54.919765,75.96376
20200331T0500,0.0,14.308929,65.82089,55.00819,75.599976
20200331T0600,0.0,12.91147,68.19859,53.435444,75.96376
20200331T0700,0.0,12.2225065,69.59012,53.183826,77.09259
20200331T0800,56.233334,13.118678,66.037506,52.104324,78.84533
20200331T0900,60.0,18.1152,61.927513,50.26868,78.851006
20200331T1000,60.0,22.874748,63.733353,48.15126,78.35403
20200331T1100,60.0,25.229359,68.310936,40.64175,71.40456
20200331T1200,60.0,24.940788,66.72105,38.84832,69.38181
20200331T1300,60.0,24.20871,65.973495,36.834526,68.19859
20200331T1400,60.0,18.705,63.79989,30.962091,66.71393
20200331T1500,60.0,16.917973,63.838425,27.231804,65.806786
20200331T1600,60.0,15.845762,63.00415,25.294964,65.62353
20200331T1700,60.0,15.372918,62.102737,24.795612,64.17901
20200331T1800,60.0,14.654423,62.96913,24.819122,66.037506
20200331T1900,60.0,13.939619,63.924644,26.944744,67.203476
20200331T2000,55.866665,11.797039,64.59228,32.67285,71.36541
20200331T2100,0.0,11.8240795,67.47943,38.592266,75.96376
20200331T2200,0.0,12.149709,74.74488,42.918583,81.80193
20200331T2300,0.0,12.020515,77.19573,43.708508,85.27554
20200401T0000,0.0,12.300643,72.34988,39.606544,88.95837
20200401T0100,0.0,12.3926115,64.53666,37.16553,86.11208
20200401T0200,0.0,11.676103,62.85031,34.679794,85.23635
20200401T0300,0.0,10.484796,62.783897,33.636406,84.47246
20200401T0400,0.0,9.780908,60.64225,32.957207,83.72893
20200401T0500,0.0,9.092791,58.17256,31.616526,82.14668
20200401T0600,0.0,8.578741,53.841812,29.427662,82.266396
20200401T0700,0.0,8.102239,46.3322,26.836306,83.06565
20200401T0800,58.233334,7.168091,41.987198,23.084955,86.42367
20200401T0900,60.0,7.4066863,37.69423,17.28,89.99999
20200401T1000,60.0,6.354631,33.023865,11.928989,95.19443
20200401T1100,60.0,6.0397053,41.42366,7.968939,108.434944
20200401T1200,60.0,4.743117,38.157227,5.634891,63.43495
20200401T1300,60.0,3.3379824,28.610443,4.6102495,51.34018
20200401T1400,60.0,2.2916594,35.53766,2.9024127,60.25511
20200401T1500,60.0,4.1698194,26.565033,5.1165614,39.2894
20200401T1600,60.0,3.5840454,41.987198,5.3999996,53.130096
20200401T1700,60.0,3.3907182,44.999985,4.6938257,57.5288
20200401T1800,60.0,2.5132127,57.994614,3.671294,78.69006
20200401T1900,60.0,2.664,36.86989,3.219938,63.43495
20200401T2000,57.266666,2.8815567,33.690063,2.5959969,56.30993
20200401T2100,0.0,3.4632,67.380135,2.5455842,44.999985
20200401T2200,0.0,3.0374274,127.874985,1.484318,75.96376
20200401T2300,0.0,2.7812977,163.30075,1.609969,63.43495
20200402T0000,0.0,3.1968002,180.0,1.0182338,135.0
20200402T0100,0.0,2.1967907,194.03624,2.1897945,189.46233
20200402T0200,0.0,1.191377,206.56505,3.396233,212.00539
20200402T0300,0.0,2.9304,180.0,6.379216,196.38954
20200402T0400,0.0,2.1967907,165.96376,9.585739,214.28688
20200402T0500,0.0,0.79920006,89.99999,12.181624,235.8403
20200402T0600,0.0,1.191377,116.56505,13.979872,235.49149
20200402T0700,0.21666667,2.6237357,156.0375,15.484185,234.46233
20200402T0800,60.0,2.4560864,167.47119,15.629971,241.07358
20200402T0900,60.0,2.0806506,219.80557,18.792551,249.82935
20200402T1000,60.0,2.9784427,243.43495,22.73707,246.68228
20200402T1100,60.0,5.1450386,248.7495,15.844089,248.6821
20200402T1200,60.0,6.9315205,267.7974,11.252519,262.6476
20200402T1300,53.61702,7.2713056,278.42697,11.165805,271.84763
20200402T1400,53.61702,7.743951,273.9452,11.5199995,270.0
20200402T1500,53.61702,9.460013,279.7276,14.440443,274.28915
20200402T1600,53.61702,10.699203,288.88608,15.725037,285.9454
20200402T1700,53.61702,10.9839525,292.83368,16.394829,289.23068
20200402T1800,53.61702,11.131568,291.0375,17.418196,288.0605
20200402T1900,60.0,10.4475,289.359,20.037485,287.78387
20200402T2000,58.666668,8.150272,281.30994,24.36325,288.9704
20200402T2100,0.0,7.730192,268.0251,26.758923,287.21606
20200402T2200,0.0,6.992683,252.25534,28.551426,283.86102
20200402T2300,0.0,7.996438,240.01837,28.410364,278.74615
20200403T0000,0.0,9.549612,239.85861,22.963936,279.01932
20200403T0100,0.0,9.304952,256.7595,16.055353,340.3462
20200403T0200,0.0,6.66,270.0,16.981165,355.1355
20200403T0300,0.0,3.554219,347.00537,6.1094027,315.0
20200403T0400,0.0,2.742756,330.94543,4.6102495,308.65982
20200403T0500,0.0,3.0374274,307.875,5.3517847,317.72632
20200403T0600,0.0,2.1477854,262.875,3.396233,302.00537
20200403T0700,2.2,2.2916594,215.53769,3.2599385,263.65982
20200403T0800,0.0,2.6237357,203.9625,5.3999996,216.8699
20200403T0900,27.446808,3.2951863,255.96376,7.386582,223.02507
20200403T1000,60.0,3.4734309,265.6013,7.5942082,238.57043
20200403T1100,60.0,3.5741313,296.56506,5.0528407,274.08563
20200403T1200,47.872337,3.8420756,303.69006,5.0142193,291.0375
20200403T1300,53.61702,4.3038235,291.8014,5.937272,284.03625
20200403T1400,53.61702,4.976763,285.5241,7.342588,281.30994
20200403T1500,53.61702,7.36826,310.60132,9.504272,307.30396
20200403T1600,53.61702,7.4066863,307.69424,9.793059,306.02737
20200403T1700,53.61702,8.154626,308.3675,11.246759,309.80557
20200403T1800,53.61702,8.154626,308.3675,10.948973,313.6678
20200403T1900,60.0,6.1329885,304.38034,9.1641035,315.0
20200403T2000,60.0,4.5600333,276.70984,5.6233797,320.19443
20200403T2100,0.05,4.72062,253.61046,5.1544156,347.90524
20200403T2200,0.0,3.8420756,236.30994,9.0,16.260193
20200403T2300,0.0,3.0374274,217.87498,17.148247,50.964478
20200404T0000,0.0,2.2916594,234.46233,20.380579,54.344658
20200404T0100,0.0,1.3583788,258.69006,25.620771,70.292015
20200404T0200,0.0,0.5956885,296.56506,30.735231,76.452065
20200404T0300,0.0,3.767465,135.0,22.805367,78.15792
20200404T0400,0.0,2.5132127,147.99461,20.898611,79.077194
20200404T0500,0.0,1.6204481,99.46232,20.617662,77.905235
20200404T0600,0.0,2.4560864,77.47118,19.48661,78.27489
20200404T0700,0.0,2.8815567,56.30993,19.770523,79.50852
20200404T0800,0.0,2.742756,29.05458,20.06334,80.70669
20200404T0900,60.0,5.1725526,34.508514,21.434364,82.27817
20200404T1000,59.808514,7.544342,47.862396,23.444265,86.478546
20200404T1100,60.0,9.697106,52.815292,21.485697,81.32683
20200404T1200,60.0,12.061772,59.4703,20.056877,68.96249
20200404T1300,60.0,13.35193,61.38954,21.194187,69.102234
20200404T1400,60.0,13.229114,64.98311,20.948164,70.94228
20200404T1500,60.0,12.656103,59.656746,19.486609,64.85522
20200404T1600,60.0,12.509458,63.43495,19.721298,68.58703
20200404T1700,60.0,13.463086,62.927917,21.129885,66.92959
20200404T1800,60.0,13.3625555,66.501434,23.224882,71.00335
20200404T1900,60.0,10.636002,67.9321,24.098497,76.17135
20200404T2000,60.0,7.8712068,66.037506,27.44513,85.48601
20200404T2100,1.45,7.501892,73.495636,32.777798,88.11181
20200404T2200,0.0,6.1503215,72.34988,27.551172,96.75357
20200404T2300,0.0,5.842608,65.772255,17.727943,102.90741
20200405T0000,0.0,5.089565,83.99099,11.4862,122.19573
20200405T0100,0.0,1.8648,89.99999,8.714677,128.29016
